$bivariate
   category1           category2   N1   N2 N12     alpha.X2     alpha.G2         beta
1    PV.Time             PV.Move 1189  174  55   0.04204268     0.032284    0.4391353
2    PV.Time        PV.Discourse 1189   68  39  0.002927973   0.00225712    0.1269658
3    PV.Time             PV.Qual 1189   62  22    0.6351393    0.5421252    0.9069924
4    PV.Time         PV.Position 1189   47   4 2.751314e-05 1.446325e-06  0.008569143
5    PV.Time           TA.speech 1189 1124 351 6.691334e-12 3.613471e-12 3.853626e-07
6    PV.Time        TA.cognitive 1189  852 356    0.0752316    0.0692975    0.5554089
7    PV.Time               TA.do 1189  839 389 7.233465e-07 6.666262e-07  0.001196326
8    PV.Time             TA.food 1189   96  36    0.8096173    0.7278053    0.9360839
9    PV.Time      TA.money.count 1189   66  30    0.3552259    0.2965741    0.8167637
10   PV.Time    NA.persons.actor 1189  199 103 0.0002346892 0.0002089006   0.03644198
11   PV.Time            Sg.actor 1189  179  99 7.786073e-06 7.224249e-06  0.004799725
12   PV.Time NDA.Relations.actor 1189   83  50 0.0001101968 8.860074e-05   0.02164031
13   PV.Time             actor.1 1189 1070 343 3.365714e-09 2.086879e-09 3.280877e-05
14   PV.Time             actor.4 1189  152  75   0.01101699  0.009349766    0.2522466
15   PV.Time              goal.3 1189 1510 549  0.001589212  0.001392196    0.1083948
16   PV.Time              goal.4 1189  704 325 1.917693e-05 1.762197e-05  0.009178201
17   PV.Time              goal.2 1189  177  64    0.4380471    0.3904373    0.8630096
18   PV.Time     NA.persons.goal 1189  396 192 6.261133e-05 5.789522e-05   0.01795353
19   PV.Time          Px3Pl.goal 1189   20   8            1      0.94161    0.9493838
20   PV.Move        PV.Discourse  174   68   6    0.3990579    0.3020101    0.8020745
21   PV.Move             PV.Qual  174   62  11 0.0001275201 0.0007781558    0.0158913
22   PV.Move         PV.Position  174   47   3            1    0.8502623     0.945768
23   PV.Move           TA.speech  174 1124  68    0.6256765    0.5708792    0.9122081
24   PV.Move        TA.cognitive  174  852  28 0.0003995739 0.0001319966   0.04773065
25   PV.Move               TA.do  174  839  64  0.007308775  0.007021393    0.2090407
26   PV.Move             TA.food  174   96   3    0.3706172    0.2240594    0.7989654
        power effect.size likelihood.ratio    cramers.v   lambda.12  lambda.21
12             0 7.223278e-06 7.223278e-06 3.780268e-06  0.000103378   0.007607292
13             0  1.46884e-05  1.46884e-05 8.540686e-06 9.083657e-06             0
14             0 3.168245e-06 3.168245e-06 1.666454e-06 1.873194e-05             0
15  0.0007669607 4.420802e-06 4.420802e-06 2.471442e-06 2.307091e-06             0
16             0 8.349187e-06 8.349187e-06 4.506156e-06  6.86949e-06             0
17             0 3.086148e-07 3.086148e-07 1.770615e-07 1.603566e-06             0
18             0 7.488626e-06 7.488626e-06 3.974832e-06 1.180527e-05             0
19             0 2.354659e-09 2.354659e-09 1.303609e-09 3.711492e-07             0
20             0 7.867281e-07 7.867281e-07 2.718814e-06 1.136864e-05             0
21             0 1.959809e-05 1.959809e-05 3.416622e-05 0.0001621755             0
22             0  1.76802e-08  1.76802e-08 8.294114e-08 6.260285e-07             0
23             0 1.433915e-07 1.433915e-07 7.280984e-07 8.086195e-08             0
24             0 4.007202e-06 4.007202e-06 2.852068e-05 3.973046e-06             0
25             0 3.867847e-06 3.867847e-06  1.70519e-05 2.383319e-06             0
26             0 3.113705e-07 3.113705e-07 2.733734e-06 6.674666e-06             0
   ASE.lambda.21   ASE.tau.12   ASE.tau.21    ASE.uc.12    ASE.uc.21 noncentrality
1              0  0.001334781  0.001334781  0.001038776  0.003158279      4.465053
2              0  0.002103517  0.002103517  0.001517585  0.009326024      9.615053
3              0 0.0003920327 0.0003920327 0.0002982383  0.002000697     0.3671454
4              0  0.001880735  0.001880735  0.002014866   0.01548735      18.86766
5              0  0.004433277  0.004433277  0.003386476  0.003439172      47.64591
6              0  0.001207732  0.001207732 0.0008960735  0.001010411      3.313954
7              0  0.003335158  0.003335158  0.002455392  0.002785985      24.96562
8              0 0.0002270931 0.0002270931 0.0001709085 0.0008148228     0.1205083
9              0 0.0007085099 0.0007085099 0.0005175401  0.003300451      1.106622
10             0  0.002545662  0.002545662  0.001842051  0.005061551      14.08892
11             0  0.003085623  0.003085623   0.00222861  0.006583045      20.70157
12             0  0.002687616  0.002687616  0.001944291    0.0101675      15.84801
13             0  0.003832544  0.003832544  0.002922445  0.003013911      35.42161
14             0  0.001779957  0.001779957  0.001290912  0.004328041      6.903197
15    0.02769405   0.00210257   0.00210257  0.001572082  0.001518911      10.20849
16             0  0.002889496  0.002889496  0.002122771  0.002620971      18.64783
17             0 0.0005555311 0.0005555311 0.0004207868   0.00126632     0.7307275
18             0  0.002736535  0.002736535  0.001993698   0.00343588       16.4669
19             0 4.852483e-05 4.852483e-05 3.610553e-05 0.0006092201   0.005377634
20             0 0.0008869769 0.0008869769  0.001648883  0.003371742      1.225487
21             0  0.004426973  0.004426973  0.005845188   0.01273481      16.86826
22             0 0.0001329669 0.0001329669  0.000287995 0.0007912196    0.03685026
23             0 0.0003786707 0.0003786707 0.0008532868 0.0002843624     0.3233723
24             0    0.0020018    0.0020018  0.005340475   0.00199325       13.1568
25             0  0.001966684  0.001966684  0.004129395    0.0015438      7.671317
26             0 0.0005580058 0.0005580058  0.001653401  0.002583538       1.25064
 [ reached 'max' / getOption("max.print") -- omitted 164 rows ]

$independents
 [1] "PV.Time"             "PV.Move"             "PV.Discourse"       
 [4] "PV.Qual"             "PV.Position"         "TA.speech"          
 [7] "TA.cognitive"        "TA.do"               "TA.food"            
[10] "TA.money.count"      "NA.persons.actor"    "Sg.actor"           
[13] "NDA.Relations.actor" "actor.1"             "actor.4"            
[16] "goal.3"              "goal.4"              "goal.2"             
[19] "NA.persons.goal"     "Px3Pl.goal"         

attr(,"class")
[1] "nominal"   "bivariate"
